# Program:featureCounts v1.4.6-p3; Command:"featureCounts" "-t" "gene" "-g" "ID" "-s" "1" "-a" "annotation.gff" "-o" "counts.txt" "SRR10379724.bam" "SRR10379722.bam" "SRR10379725.bam" "SRR10379726.bam" "SRR10379723.bam" "SRR10379721.bam" 
Geneid	Chr	Start	End	Strand	Length	SRR10379724.bam	SRR10379722.bam	SRR10379725.bam	SRR10379726.bam	SRR10379723.bam	SRR10379721.bam
gene-SAOUHSC_00055	CP000253.1	57955	58722	+	768	305	350	447	38	408	531
gene-SAOUHSC_00056	CP000253.1	58855	61053	+	2199	3358	2167	5006	463	1841	2728
gene-SAOUHSC_00057	CP000253.1	61204	62382	+	1179	755	493	910	279	366	537
gene-SAOUHSC_00058	CP000253.1	62384	63772	+	1389	1184	660	1877	400	597	930
gene-SAOUHSC_00060	CP000253.1	64265	65926	-	1662	2097	1373	1761	757	1814	1741
gene-SAOUHSC_00061	CP000253.1	66252	68027	-	1776	1657	1221	2397	716	1188	1796
gene-SAOUHSC_00062	CP000253.1	68201	69073	-	873	18	26	20	3	47	78
gene-SAOUHSC_00064	CP000253.1	69186	70583	+	1398	214	84	237	26	98	134
gene-SAOUHSC_00065	CP000253.1	70773	71246	+	474	1664	280	1991	306	256	346
gene-SAOUHSC_00067	CP000253.1	71508	73100	+	1593	6029	3791	7506	2159	3723	5245
gene-SAOUHSC_00069	CP000253.1	73429	74979	-	1551	8915	2249	5056	876	1483	2131
gene-SAOUHSC_00070	CP000253.1	75400	76152	-	753	951	260	1052	50	304	358
gene-SAOUHSC_00071	CP000253.1	76521	77435	-	915	11088	4380	13447	1664	2427	4147
gene-SAOUHSC_00072	CP000253.1	77516	78511	-	996	253	384	382	130	307	547
gene-SAOUHSC_00074	CP000253.1	78527	79519	-	993	673	474	848	48	444	771
gene-SAOUHSC_00075	CP000253.1	79885	80730	+	846	69	162	53	17	127	283
gene-SAOUHSC_00076	CP000253.1	80727	81737	+	1011	166	236	151	77	191	405
gene-SAOUHSC_00077	CP000253.1	81758	83512	+	1755	394	486	413	92	418	891
gene-SAOUHSC_00078	CP000253.1	83505	84761	+	1257	235	299	225	130	295	603
gene-SAOUHSC_00079	CP000253.1	84751	86487	+	1737	371	529	383	80	393	883
gene-SAOUHSC_00080	CP000253.1	86396	88246	+	1851	568	726	603	183	655	1248
gene-SAOUHSC_00081	CP000253.1	88221	88997	+	777	304	371	397	167	358	632
gene-SAOUHSC_00082	CP000253.1	88997	90199	+	1203	506	641	761	167	618	1149
gene-SAOUHSC_00083	CP000253.1	90203	90967	+	765	541	712	807	201	768	1286
gene-SAOUHSC_A00084	CP000253.1	90905	91096	-	192	0	6	2	0	4	11
gene-SAOUHSC_00084	CP000253.1	91163	91570	+	408	199	55	240	16	49	71
gene-SAOUHSC_00085	CP000253.1	91620	92246	+	627	387	90	405	57	92	112
gene-SAOUHSC_00086	CP000253.1	92458	93234	+	777	9281	4851	17971	10209	2269	5115
gene-SAOUHSC_00087	CP000253.1	93378	93500	+	123	2	4	4	0	6	3
gene-SAOUHSC_00088	CP000253.1	93570	94550	+	981	45	47	32	3	63	81
gene-SAOUHSC_00089	CP000253.1	94513	95205	+	693	35	38	22	11	41	48
gene-SAOUHSC_00090	CP000253.1	95415	96581	+	1167	22	70	37	7	73	114
gene-SAOUHSC_00091	CP000253.1	96562	97800	+	1239	46	53	63	4	73	103
gene-SAOUHSC_00092	CP000253.1	97790	99220	+	1431	1067	764	1702	137	826	1106
gene-SAOUHSC_00093	CP000253.1	99488	100087	+	600	1208	2423	1224	338	2816	4023
gene-SAOUHSC_00094	CP000253.1	100455	101054	+	600	38076	59872	58506	15886	47331	70651
gene-SAOUHSC_00096	CP000253.1	101370	102125	-	756	1240	1346	1334	249	1411	1888
gene-SAOUHSC_A00097	CP000253.1	102228	102452	-	225	24	48	9	3	48	83
gene-SAOUHSC_00097	CP000253.1	102361	103068	+	708	1283	6166	2827	344	3690	6007
gene-SAOUHSC_00099	CP000253.1	103075	104427	+	1353	3293	12208	5411	350	7924	11014
gene-SAOUHSC_00100	CP000253.1	104508	105170	+	663	6100	15200	8538	3776	11206	14936
gene-SAOUHSC_00101	CP000253.1	105198	106376	+	1179	12681	21720	16510	6259	12674	19073
gene-SAOUHSC_00102	CP000253.1	106507	107322	-	816	127	169	78	24	166	310
gene-SAOUHSC_00103	CP000253.1	107319	108119	-	801	60	91	67	4	111	174
gene-SAOUHSC_00104	CP000253.1	108121	108894	-	774	56	112	68	8	128	196
gene-SAOUHSC_00105	CP000253.1	109108	110064	-	957	85	138	73	5	145	261
gene-SAOUHSC_00106	CP000253.1	110293	111837	+	1545	726	822	911	293	777	1113
gene-SAOUHSC_00107	CP000253.1	111888	113423	+	1536	1608	1670	2236	465	1453	2039
gene-SAOUHSC_00108	CP000253.1	113507	113710	+	204	3	11	18	0	11	18
gene-SAOUHSC_00109	CP000253.1	114083	114568	+	486	42	18	47	3	33	64
gene-SAOUHSC_00110	CP000253.1	114553	114843	+	291	47	46	81	5	59	86
gene-SAOUHSC_00111	CP000253.1	114927	115214	+	288	52	11	31	40	15	17
gene-SAOUHSC_00112	CP000253.1	115867	116088	+	222	372	207	613	55	221	288
gene-SAOUHSC_00113	CP000253.1	116538	119147	+	2610	8552	1449	21352	5722	1340	2253
gene-SAOUHSC_00114	CP000253.1	119492	120160	+	669	6041	1520	11178	1017	982	1354
gene-SAOUHSC_00115	CP000253.1	120176	120862	+	687	6867	1952	12800	2244	1136	1668
gene-SAOUHSC_00116	CP000253.1	120865	121629	+	765	6838	2455	15409	2339	1424	2041
gene-SAOUHSC_00117	CP000253.1	121649	123472	+	1824	11010	5141	23249	8761	2632	4230
gene-SAOUHSC_00118	CP000253.1	123462	124490	+	1029	5498	2745	13638	4277	1587	2321
gene-SAOUHSC_00119	CP000253.1	124503	125612	+	1110	5273	2909	14204	2413	1612	2526
gene-SAOUHSC_00120	CP000253.1	125616	126740	+	1125	5765	3035	14330	5601	1700	2547
gene-SAOUHSC_00121	CP000253.1	126743	127369	+	627	2601	1164	6786	1689	746	1135
gene-SAOUHSC_00122	CP000253.1	127374	128483	+	1110	4085	1758	10770	1358	1076	1743
gene-SAOUHSC_00123	CP000253.1	128497	129663	+	1167	2869	1125	7627	2215	740	1162
gene-SAOUHSC_00124	CP000253.1	129656	130861	+	1206	2138	690	5601	725	613	777
gene-SAOUHSC_00125	CP000253.1	130862	132067	+	1206	4482	2657	14876	4660	1645	2582
gene-SAOUHSC_00126	CP000253.1	132078	132635	+	558	2085	1239	8214	3293	824	1214
gene-SAOUHSC_00127	CP000253.1	132635	133522	+	888	3979	2406	10865	1819	1589	2451
gene-SAOUHSC_00128	CP000253.1	133576	134838	+	1263	5304	3582	17604	5615	2214	3676
gene-SAOUHSC_00129	CP000253.1	134915	136060	+	1146	5565	3888	15407	5463	2755	4217
gene-SAOUHSC_00130	CP000253.1	136125	136451	-	327	592	920	881	56	738	1112
gene-SAOUHSC_00131	CP000253.1	136458	136841	-	384	486	640	736	38	534	780
gene-SAOUHSC_00132	CP000253.1	137268	138755	+	1488	22156	13571	33329	3095	4557	12571
gene-SAOUHSC_00133	CP000253.1	139401	140360	+	960	1364	562	1569	174	384	655
gene-SAOUHSC_00134	CP000253.1	140422	140625	-	204	111	32	63	10	16	36
gene-SAOUHSC_00135	CP000253.1	140804	141316	+	513	263	839	334	114	946	1477
gene-SAOUHSC_00136	CP000253.1	141658	142398	+	741	31	196	40	10	219	377
gene-SAOUHSC_00137	CP000253.1	142412	143386	+	975	83	333	117	58	345	582
gene-SAOUHSC_00138	CP000253.1	143383	144144	+	762	69	267	97	17	258	467
gene-SAOUHSC_00139	CP000253.1	144157	145188	+	1032	1021	786	1825	290	836	1328
gene-SAOUHSC_00141	CP000253.1	145405	145764	+	360	5649	19819	5388	287	20394	31948
gene-SAOUHSC_00142	CP000253.1	145937	146962	+	1026	268	1661	243	84	1169	1819
gene-SAOUHSC_00143	CP000253.1	147348	148598	+	1251	1911	5968	2337	316	6820	11495
gene-SAOUHSC_00144	CP000253.1	149045	156220	+	7176	59653	76752	68035	14061	76118	132838
gene-SAOUHSC_00145	CP000253.1	156233	156877	+	645	7414	12187	7409	1046	11708	20683
gene-SAOUHSC_00146	CP000253.1	157205	157684	-	480	3674	2150	3444	1956	3228	3853
gene-SAOUHSC_00147	CP000253.1	157954	158718	-	765	400	1607	475	55	2699	3018
gene-SAOUHSC_00148	CP000253.1	158734	159975	-	1242	423	1801	595	148	3023	3218
gene-SAOUHSC_00149	CP000253.1	159987	161018	-	1032	151	463	216	37	732	862
gene-SAOUHSC_00150	CP000253.1	161057	162241	-	1185	152	615	287	41	966	1023
gene-SAOUHSC_00151	CP000253.1	162494	163849	-	1356	6674	1527	7490	348	1602	2100
gene-SAOUHSC_00152	CP000253.1	164125	164622	-	498	864	1323	842	325	832	1614
gene-SAOUHSC_00153	CP000253.1	164749	166389	-	1641	1412	2460	2956	424	1262	2748
gene-SAOUHSC_00154	CP000253.1	166583	166684	+	102	14	24	5	0	25	43
gene-SAOUHSC_00155	CP000253.1	166663	168660	-	1998	13064	3488	13086	3480	3548	5501
gene-SAOUHSC_00156	CP000253.1	169309	170349	+	1041	6882	3866	16975	1775	2084	3154
gene-SAOUHSC_00157	CP000253.1	170349	171245	+	897	2482	2708	8067	2490	1400	1936
gene-SAOUHSC_00158	CP000253.1	171257	172711	+	1455	3393	4490	9271	2960	2306	3423
gene-SAOUHSC_00160	CP000253.1	172714	173589	+	876	1776	3054	3739	384	1702	2619
gene-SAOUHSC_00161	CP000253.1	173783	174064	-	282	83	39	146	9	48	94
gene-SAOUHSC_00162	CP000253.1	174277	177066	+	2790	4386	2390	5677	659	1770	2830
gene-SAOUHSC_00163	CP000253.1	177271	178113	+	843	3092	1020	4803	249	742	1198
gene-SAOUHSC_00164	CP000253.1	178115	179038	+	924	2662	1093	3141	289	673	1165
gene-SAOUHSC_00166	CP000253.1	179025	180137	+	1113	2850	1543	5035	484	1106	1700
gene-SAOUHSC_00167	CP000253.1	180402	181994	-	1593	631	2468	762	198	2791	3909
gene-SAOUHSC_00168	CP000253.1	181951	183429	+	1479	66	122	67	15	98	176
gene-SAOUHSC_00169	CP000253.1	183435	184598	+	1164	90	119	108	27	128	209
gene-SAOUHSC_00170	CP000253.1	184615	186390	+	1776	291	373	484	92	431	788
gene-SAOUHSC_00171	CP000253.1	186428	188434	+	2007	723	672	1008	269	669	1205
gene-SAOUHSC_00172	CP000253.1	188732	189505	-	774	419	2109	397	24	2214	2620
gene-SAOUHSC_00173	CP000253.1	189695	190321	-	627	1098	24810	1469	86	35289	41008
gene-SAOUHSC_00174	CP000253.1	190530	191108	+	579	1736	3355	2407	489	1791	2945
gene-SAOUHSC_00175	CP000253.1	191491	192588	+	1098	238	251	364	76	178	295
gene-SAOUHSC_00176	CP000253.1	192601	193872	+	1272	140	730	256	60	543	773
gene-SAOUHSC_00177	CP000253.1	193875	195143	+	1269	166	952	334	81	696	936
gene-SAOUHSC_00178	CP000253.1	195145	195984	+	840	190	788	243	31	553	751
gene-SAOUHSC_00179	CP000253.1	196058	197134	+	1077	324	1542	532	221	1056	1437
gene-SAOUHSC_00180	CP000253.1	197159	198199	+	1041	343	1503	472	169	1041	1454
gene-SAOUHSC_00181	CP000253.1	198254	199222	+	969	526	1968	560	119	1329	1927
gene-SAOUHSC_00182	CP000253.1	199583	200155	-	573	870	429	974	43	461	664
gene-SAOUHSC_00183	CP000253.1	200310	201689	+	1380	2282	4664	1402	591	3631	3296
gene-SAOUHSC_00184	CP000253.1	202048	202806	-	759	518	280	585	94	389	501
gene-SAOUHSC_00185	CP000253.1	202799	204355	-	1557	821	453	1337	142	479	725
gene-SAOUHSC_00186	CP000253.1	204352	205320	-	969	645	203	751	108	219	332
gene-SAOUHSC_00187	CP000253.1	205908	208157	+	2250	115873	9739	174690	49124	6920	12060
gene-SAOUHSC_00188	CP000253.1	208180	208935	+	756	39178	4055	70598	26721	2979	5460
gene-SAOUHSC_00189	CP000253.1	209039	209233	+	195	169	45	433	45	37	67
gene-SAOUHSC_00190	CP000253.1	209271	211034	+	1764	1507	808	2059	199	871	1257
gene-SAOUHSC_00191	CP000253.1	211198	211542	-	345	4803	3278	4509	96	2171	4046
gene-SAOUHSC_00192	CP000253.1	211732	213642	+	1911	5795	8980	2845	287	5001	5652
gene-SAOUHSC_00193	CP000253.1	213824	213931	-	108	16	35	13	0	18	28
gene-SAOUHSC_00194	CP000253.1	213950	214120	-	171	112	560	168	34	316	379
gene-SAOUHSC_00195	CP000253.1	214246	215430	-	1185	789	5458	1803	487	1965	2894
gene-SAOUHSC_00196	CP000253.1	215460	217721	-	2262	1636	8221	5369	568	2430	3675
gene-SAOUHSC_00197	CP000253.1	217907	219118	-	1212	1764	5109	5228	859	1107	1656
gene-SAOUHSC_00198	CP000253.1	219230	220735	-	1506	7279	7949	14141	1250	1752	3034
gene-SAOUHSC_00199	CP000253.1	220761	222338	-	1578	23673	9123	38287	4513	2061	3885
gene-SAOUHSC_00200	CP000253.1	222779	223921	+	1143	887	551	1255	167	647	980
gene-SAOUHSC_00201	CP000253.1	224235	225647	-	1413	1259	1250	1481	140	1866	2498
gene-SAOUHSC_00202	CP000253.1	225908	226264	-	357	232	45	388	72	29	99
gene-SAOUHSC_00203	CP000253.1	226421	226594	-	174	458	70	735	101	72	144
gene-SAOUHSC_00204	CP000253.1	226620	227765	-	1146	5708	1090	10659	997	870	1718
gene-SAOUHSC_00205	CP000253.1	227920	228027	+	108	28	34	42	3	41	55
gene-SAOUHSC_00206	CP000253.1	228482	229291	+	810	132233	13831	251353	57670	10663	14465
gene-SAOUHSC_00208	CP000253.1	229502	229645	+	144	112	49	94	10	55	55
gene-SAOUHSC_00209	CP000253.1	229611	231140	-	1530	1500	1401	941	564	997	1873
gene-SAOUHSC_00211	CP000253.1	231502	232437	+	936	424	193	542	280	195	291
gene-SAOUHSC_00212	CP000253.1	232547	232645	+	99	0	2	0	0	0	3
gene-SAOUHSC_00213	CP000253.1	232776	234872	+	2097	130	180	135	20	162	261
gene-SAOUHSC_00214	CP000253.1	234857	235324	+	468	22	46	21	3	47	88
gene-SAOUHSC_00215	CP000253.1	235347	235625	+	279	21	45	23	2	49	59
gene-SAOUHSC_00216	CP000253.1	235852	237111	+	1260	164	244	160	24	234	391
gene-SAOUHSC_00217	CP000253.1	237129	238184	+	1056	243	316	264	74	307	531
gene-SAOUHSC_00218	CP000253.1	238186	238332	+	147	15	20	12	6	17	30
gene-SAOUHSC_00219	CP000253.1	238356	239399	+	1044	439	549	467	176	535	989
gene-SAOUHSC_00220	CP000253.1	239969	240643	+	675	2487	889	3803	1234	494	893
gene-SAOUHSC_00221	CP000253.1	240636	241661	+	1026	3474	1275	4411	530	843	1421
gene-SAOUHSC_A00219	CP000253.1	241570	241857	-	288	6	10	3	0	22	40
gene-SAOUHSC_00222	CP000253.1	241836	243377	+	1542	4934	2161	6923	1166	1830	2779
gene-SAOUHSC_00223	CP000253.1	243805	244974	+	1170	1672	1691	2620	347	1140	2045
gene-SAOUHSC_00225	CP000253.1	245250	245966	+	717	3058	2321	3296	522	1918	2882
gene-SAOUHSC_00226	CP000253.1	245959	246984	+	1026	6413	5013	9212	1305	4756	6520
gene-SAOUHSC_00227	CP000253.1	247006	248694	+	1689	12789	11332	20247	2366	11812	14988
gene-SAOUHSC_00228	CP000253.1	248727	250451	+	1725	21430	26017	32463	6675	27079	33046
gene-SAOUHSC_00229	CP000253.1	250591	251265	+	675	1601	487	3801	503	480	708
gene-SAOUHSC_00230	CP000253.1	251527	253266	+	1740	5246	840	7405	1083	662	992
gene-SAOUHSC_00231	CP000253.1	253269	254009	+	741	553	130	975	70	118	210
gene-SAOUHSC_00232	CP000253.1	254122	254565	+	444	339	194	2325	177	119	127
gene-SAOUHSC_00233	CP000253.1	254558	255259	+	702	1055	975	4928	1696	531	855
gene-SAOUHSC_00234	CP000253.1	255367	256071	-	705	790	1043	994	64	913	1348
gene-SAOUHSC_00235	CP000253.1	256220	257011	+	792	122	367	244	17	355	633
gene-SAOUHSC_00236	CP000253.1	257027	258463	+	1437	209	736	322	102	651	1029
gene-SAOUHSC_00237	CP000253.1	258896	259657	-	762	134	117	181	18	87	169
gene-SAOUHSC_00238	CP000253.1	259676	259810	+	135	12	15	14	2	28	38
gene-SAOUHSC_00239	CP000253.1	259908	260822	-	915	1819	2223	3587	941	1237	2470
gene-SAOUHSC_00240	CP000253.1	260850	261254	-	405	708	913	1677	129	544	977
gene-SAOUHSC_00241	CP000253.1	261269	262150	-	882	1413	1781	1744	848	999	1987
gene-SAOUHSC_00242	CP000253.1	262382	263380	-	999	1757	811	2153	554	589	890
gene-SAOUHSC_00243	CP000253.1	263531	263710	+	180	65	70	43	0	152	216
gene-SAOUHSC_00244	CP000253.1	263760	264152	+	393	310	555	409	16	867	946
gene-SAOUHSC_00245	CP000253.1	264380	264784	+	405	75	74	78	22	49	89
gene-SAOUHSC_00246	CP000253.1	264825	266201	-	1377	1543	2207	1257	137	1388	2559
gene-SAOUHSC_00247	CP000253.1	266435	267427	+	993	481	602	745	122	521	802
gene-SAOUHSC_00248	CP000253.1	267753	268703	+	951	1143	1530	1644	747	1230	1715
gene-SAOUHSC_00249	CP000253.1	268755	269414	-	660	271	293	312	24	316	473
gene-SAOUHSC_00250	CP000253.1	269428	270348	-	921	223	223	288	14	275	374
gene-SAOUHSC_00251	CP000253.1	270345	271511	-	1167	123	85	122	7	99	139
gene-SAOUHSC_00253	CP000253.1	271579	273102	-	1524	645	1072	663	32	1497	1878
gene-SAOUHSC_00254	CP000253.1	273373	274026	+	654	79	60	57	3	71	86
gene-SAOUHSC_00255	CP000253.1	274060	274647	+	588	178	239	196	22	332	458
gene-SAOUHSC_00256	CP000253.1	274790	275683	-	894	976	1258	1199	412	1293	1752
gene-SAOUHSC_00257	CP000253.1	275931	276224	+	294	2299	3753	2993	1722	2591	4044
gene-SAOUHSC_00258	CP000253.1	276308	279337	+	3030	999	2724	1064	83	2586	3562
gene-SAOUHSC_00259	CP000253.1	279337	279795	+	459	132	370	113	7	504	641
gene-SAOUHSC_00260	CP000253.1	279728	280009	+	282	6	12	7	0	11	12
gene-SAOUHSC_00261	CP000253.1	280022	281356	+	1335	101	115	124	5	136	214
gene-SAOUHSC_00262	CP000253.1	281378	285817	+	4440	716	835	727	116	922	1386
gene-SAOUHSC_00264	CP000253.1	285847	286239	+	393	68	57	79	11	71	104
gene-SAOUHSC_00265	CP000253.1	286255	286569	+	315	88	82	68	55	66	128
gene-SAOUHSC_00266	CP000253.1	286569	287243	+	675	104	110	131	16	133	206
gene-SAOUHSC_00267	CP000253.1	287243	287560	+	318	60	65	70	21	61	91
gene-SAOUHSC_00268	CP000253.1	287570	289414	+	1845	2879	1656	4227	1448	1504	2169
gene-SAOUHSC_00269	CP000253.1	289425	289916	+	492	3383	934	5160	502	996	1389
gene-SAOUHSC_00270	CP000253.1	290124	290807	+	684	294	109	452	50	134	174
gene-SAOUHSC_00271	CP000253.1	290954	291565	+	612	208	67	353	29	54	126
gene-SAOUHSC_00272	CP000253.1	291701	291919	+	219	472	607	272	21	876	1332
gene-SAOUHSC_00274	CP000253.1	292051	292551	+	501	66	38	73	11	38	65
gene-SAOUHSC_00275	CP000253.1	292421	293062	+	642	176	117	336	29	106	135
gene-SAOUHSC_00276	CP000253.1	293073	293573	+	501	149	110	335	21	103	140
gene-SAOUHSC_00277	CP000253.1	293584	294084	+	501	139	98	293	40	78	115
gene-SAOUHSC_00278	CP000253.1	294095	294583	+	489	132	60	194	25	75	150
gene-SAOUHSC_00279	CP000253.1	295206	295580	+	375	606	1266	772	52	1620	1926
gene-SAOUHSC_00280	CP000253.1	295733	296131	+	399	881	1569	1028	199	2078	2645
gene-SAOUHSC_00281	CP000253.1	296347	297171	-	825	2540	508	5209	925	505	661
gene-SAOUHSC_00282	CP000253.1	297408	298685	-	1278	12459	6250	13473	1710	4084	9524
gene-SAOUHSC_00284	CP000253.1	299299	300189	+	891	342	303	421	41	353	551
gene-SAOUHSC_A00283	CP000253.1	300206	300439	-	234	5	6	1	0	6	15
gene-SAOUHSC_00285	CP000253.1	300438	301487	+	1050	7478	4637	10582	1281	3083	3844
gene-SAOUHSC_00287	CP000253.1	301500	302177	+	678	6996	4052	10358	2826	2842	3842
gene-SAOUHSC_00289	CP000253.1	302336	302476	-	141	2	11	1	0	8	11
gene-SAOUHSC_00290	CP000253.1	302466	303416	+	951	4010	3303	6279	1206	3358	4399
gene-SAOUHSC_00291	CP000253.1	303759	304877	+	1119	427	179	1066	100	109	218
gene-SAOUHSC_00292	CP000253.1	304852	305775	+	924	541	317	1270	231	250	402
gene-SAOUHSC_00293	CP000253.1	305786	307006	+	1221	749	544	1207	150	495	897
gene-SAOUHSC_00294	CP000253.1	307111	308643	-	1533	1731	3753	1197	206	2413	3641
gene-SAOUHSC_00295	CP000253.1	308683	309564	-	882	1538	2314	1113	192	1336	1841
gene-SAOUHSC_00296	CP000253.1	309722	310582	+	861	1041	1062	1773	517	837	1155
gene-SAOUHSC_00297	CP000253.1	310860	311660	-	801	2292	952	3415	682	678	1295
gene-SAOUHSC_00298	CP000253.1	311800	312468	+	669	1039	2282	1239	276	1774	2639
gene-SAOUHSC_00299	CP000253.1	312595	313908	-	1314	423	302	859	59	286	469
gene-SAOUHSC_00300	CP000253.1	314326	316398	+	2073	44259	61913	60166	23473	51283	71572
gene-SAOUHSC_00301	CP000253.1	316640	317467	-	828	1491	912	1783	307	888	1376
gene-SAOUHSC_00302	CP000253.1	317540	318739	-	1200	1087	508	1462	272	601	877
gene-SAOUHSC_00303	CP000253.1	318835	318927	+	93	38	24	68	5	31	45
gene-SAOUHSC_00304	CP000253.1	319041	320042	+	1002	424	309	538	111	230	463
gene-SAOUHSC_00305	CP000253.1	320136	320408	+	273	140	141	232	37	111	186
gene-SAOUHSC_00306	CP000253.1	320409	321209	+	801	362	354	407	76	256	465
gene-SAOUHSC_00307	CP000253.1	321199	322143	+	945	387	400	533	135	284	584
gene-SAOUHSC_00308	CP000253.1	322121	323143	+	1023	447	504	747	170	429	760
gene-SAOUHSC_00309	CP000253.1	323458	324483	+	1026	8272	3243	8933	3309	2075	3325
gene-SAOUHSC_00310	CP000253.1	324576	325922	-	1347	2075	2807	1471	320	1571	2257
